FID,amenity,name,latitude,longitude
370,restaurant,Head Quarters Bar,14.7025995,120.9430008
371,restaurant,Obando Grill,14.7047005,120.9410019
372,restaurant,Bulaluhan sa N. Ramirez,14.6147003,121.0049973
373,restaurant,Red Palmas Restuarant,14.6915998,120.9520035
374,restaurant,Gq Resto,14.7986002,120.9250031
375,restaurant,Salakab Resto,14.7890997,120.9309998
376,restaurant,Happy Home,11.9629002,121.9300003
377,restaurant,Pizza Hut,14.7013998,121.0350037
378,restaurant,MR. T. Inasal,14.6731997,120.9820023
379,restaurant,Azutea De Lago,14.0740004,121.3259964
380,restaurant,Sizzling House,14.9050999,120.8690033
381,restaurant,Max's,14.9031000,120.8679962
382,restaurant,Nikohai,14.4036999,120.9769974
383,restaurant,Pizza Volante,16.4123001,120.5979996
384,restaurant,Tea House,16.4125996,120.5979996
385,restaurant,Daño beach resort,11.3273001,124.1200027
386,restaurant,Green AP,10.3137999,123.9580002
387,restaurant,Victory Panciteria,14.6234999,121.0940018
388,restaurant,Berganio Tabo Panciteria,14.6237001,121.0950012
389,restaurant,Salud Panciteria,14.6267996,121.0970001
390,restaurant,Lola Helen Panciteria,14.6357002,121.0940018
391,restaurant,Krung Thai,14.6327000,121.0960007
392,restaurant,Johnny's Fried Chicken,14.6327000,121.0960007
393,restaurant,Era Plaza,14.5124998,121.2389984
394,restaurant,Sizzling & Combo Food Haus,14.1520004,121.2350006
395,restaurant,Braya Tea House,14.5662003,121.0339966
396,restaurant,Cifu Asian Cooking,14.5747004,120.9850006
397,restaurant,Mo Jo,14.5745001,120.9840012
398,restaurant,uloy's BBQ,7.0977898,125.6210022
399,restaurant,Triad Coffee Shop;Larena Triad Restaurant & Bakeshop,9.2392797,123.5839996
400,restaurant,Museum Café,14.5534000,121.0230026
401,restaurant,Lolo Claro's Restaurant,14.2779999,120.7399979
402,restaurant,Harbor View Bistro,14.5374002,120.9789963
403,restaurant,Joey's 4x & Force,14.6107998,121.0370026
404,restaurant,Amazing Cones,14.6140003,121.0370026
405,restaurant,Gerry's Grill,14.6386995,121.0360031
406,restaurant,Al Dente,10.6997995,122.5569992
407,restaurant,The Mellow Mangrove,10.7009001,122.5579987
408,restaurant,Naga Garden,13.6231003,123.1849976
409,restaurant,Naga Oyster,13.6218004,123.1849976
410,restaurant,Wok,13.6322002,123.1959991
411,restaurant,Chili Peppers,13.6317997,123.1969986
412,restaurant,Shakey's,13.6322002,123.1959991
413,restaurant,Tribo Grill,13.6239996,123.1949997
414,restaurant,Podo Grill,13.6199999,123.2009964
415,restaurant,1st Colonial Grill,13.6250000,123.1859970
416,restaurant,Carlo's Pizza,14.4983997,121.0149994
417,restaurant,Green Seas Seafood,14.5986996,120.9779968
418,restaurant,Aroma,11.7354002,122.3339996
419,restaurant,Pizza Hut,14.5985003,120.9789963
420,restaurant,King Bee,14.2917004,120.9100037
421,restaurant,Plaza Canteen,14.3859997,120.8799973
422,restaurant,King Crab House,14.5024004,120.9990005
423,restaurant,Pizza Hut,14.4944000,120.9929962
424,restaurant,Dong Bei,14.6012001,120.9749985
425,restaurant,Pizza Hut,14.4650002,121.0199966
426,restaurant,Mrs. B's Food Box,14.4970999,121.0210037
427,restaurant,Sanso Grill,14.4952002,121.0139999
428,restaurant,Le Delice,14.5022001,121.0210037
429,restaurant,Kenny Rogers' Roasters,14.5630999,120.9950027
430,restaurant,El Torro,13.7869997,121.0569992
431,restaurant,Chilli Pepper,14.5584002,121.0220032
432,restaurant,Coquina,14.5608997,121.0250015
433,restaurant,Kitaro,14.5611000,121.0250015
434,restaurant,Säntis,14.1431999,120.9560013
435,restaurant,Taal Bistro,13.8788996,120.9229965
436,restaurant,Kitchen Pantry,7.0745602,125.6129990
437,restaurant,Lets Crab Eat,7.0818601,125.6110001
438,restaurant,Taal Bayview Bistro,13.8875999,120.9369965
439,restaurant,Barbeque Boss,7.0807700,125.6110001
440,restaurant,Pinutos Republik,7.0806799,125.6100006
441,restaurant,Mandarin Tea Garden,7.0707002,125.6050034
442,restaurant,Kuya J's Restaurant,14.5614996,120.9899979
443,restaurant,Tempura Sam,14.2922001,120.9079971
444,restaurant,Gerry's Grill,14.3016005,120.9540024
445,restaurant,Shakeys,14.3004999,120.9570007
446,restaurant,Famous Cabagan Pancit Restaurants,17.4251003,121.7770004
447,restaurant,Kitty's Kitchen,11.7083998,122.3629990
448,restaurant,North Park,14.3780003,121.0459976
449,restaurant,Buto't Balat,10.7112999,122.5510025
450,restaurant,Carlitos,10.7264996,122.5569992
451,restaurant,Cafe Mary Grace,14.4225998,121.0289993
452,restaurant,Calle Real,14.4099998,120.8779984
453,restaurant,Urashima,14.4104004,120.8779984
454,restaurant,Kyo Hachi,14.4066000,120.8779984
455,restaurant,Four Seasons,15.1931000,120.5400009
456,restaurant,Marikit Na Hapag Kainan,14.6248999,121.1029968
457,restaurant,Batis Azul,15.1308002,120.5970001
458,restaurant,La Tora's Garden,14.6307001,121.0950012
459,restaurant,Bacolod Chicken House,14.5665998,121.0139999
460,restaurant,Chicken House,10.6850996,122.9570007
461,restaurant,Isdaan Gerona,15.5932999,120.6100006
462,restaurant,Elbusero,10.4117002,119.1770020
463,restaurant,Sérye,14.4572001,121.0360031
