FID,name,latitude,longitude
419,Mamburao Grand Terminal,13.2159004,120.6019974
420,Tupi Bus Terminal,6.3315101,124.9489975
421,Bataan Transit - Mariveles Terminal,14.4349003,120.487999
422,Mag-Asawang Sapa - Sta. Maria JODA,14.8228998,120.9599991
423,Bus Terminal,10.1309004,124.314003
424,Malaunay Jeep station,9.3056898,123.3040009
425,Gelly Trucking,11.9317999,123.7689972
426,Genesis Joybus,16.4102001,120.5979996
427,RECARO transport service,10.4097004,119.177002
428,SEBC station,14.5612001,121.1429977
429,Lawak-Sto. Domingo Tricycle Terminal,16.0273991,120.7480011
430,Mag-Asawang Sapa - Sta. Maria JODA,14.8781996,120.9820023
431,St. Monique Shuttle,14.5094995,121.1869965
432,Vans-Van Van Terminal,12.0655003,124.5970001
433,VS Grand Tours Terminal,12.0650997,124.5979996
434,Guiuan Express Terminal,11.2426996,125.0009995
435,Jeepneys Bus Station,12.7044001,124.0329971
436,Jeepney Terminal > HBC Hway-Southern Heights2,14.3614998,121.0569992
437,Hilongos Transport Terminal,10.3734999,124.75
438,Minivans Station,10.059,124.4710007
439,Bound to Samal,7.07792,125.6230011
440,Ceres Liner - Hinoba-an Terminal,9.5992699,122.4680023
441,Dolores Transport Terminal,12.0349998,125.4830017
442,Mambajao Transport Terminal,9.25383,124.7160034
443,Jeepney Terminal,14.5799999,121.0550003
444,Mati Bus Terminal,6.9575701,126.2080002
445,Ayala UV Express,14.5873003,121.1750031
446,Santa Josefa Bus Terminal,7.9863501,126.0279999
447,Tagbilaran - Sikatuna Bus Terminal,9.6420002,123.8570023
448,Tagbilaran - Lindaville Bus Terminal,9.6421003,123.8560028
449,Tagbilaran - Baclayon Bus Terminal,9.6427002,123.8560028
450,Tagbilaran - Corella Bus Terminal,9.6418896,123.8570023
451,Calabanga/Tinambac-Bound Jeepney Terminal,13.6341,123.185997
452,Airport Loop (Pasay City),14.5365,121.0009995
453,Jeepneys to Sibulan Transport Terminal,9.3061705,123.3059998
